cell_global_id,cell_folder,aging_condition,aging_temperature_C,rpt_id_from_filename,source_file,channel,channel_num,rpt_id,delta_t_0p2c_3p8_4p0_s,delta_t_1c_3p8_4p0_s,charge_time_ratio_1c_over_0p2c,cccv_rate_used,cc_charge_time_s,cv_charge_time_s,cc_charge_time_0p2c_s,cv_charge_time_0p2c_s,cc_charge_time_1c_s,cv_charge_time_1c_s,q02_selection,q02_step,q02_repeat,q02_current_A,q02_complete_candidates,q1_selection,q1_step,q1_repeat,q1_current_A,q1_complete_candidates,t_0p2c_cross_3p8_s,t_0p2c_cross_4p0_s,t_1c_cross_3p8_s,t_1c_cross_4p0_s,cv_entry_time_0p2c_s,cv_entry_voltage_0p2c_V,cv_entry_current_0p2c_A,cutoff_current_0p2c_A,cv_entry_time_1c_s,cv_entry_voltage_1c_V,cv_entry_current_1c_A,cutoff_current_1c_A,status,cell_channel_match,qc_warning
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,0,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/0.csv,M01Ch001[001],1,0,4140.0,793.3333333333335,0.1916264090177134,1C,3140.0,443.0500000000002,18060.0,159.79999999999927,3140.0,443.0500000000002,protocol_second_repeat,6,2,0.6,2,protocol_second_repeat,11,2,3.0,2,9660.0,13800.0,1630.0,2423.3333333333335,18060.0,4.2,0.557,0.3,3140.0,4.2,2.887,1.5,OK,True,
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,1,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/1.csv,M01Ch001[001],1,1,4050.0,786.6666666666672,0.19423868312757214,1C,2870.0,455.0500000000002,16770.0,186.04999999999927,2870.0,455.0500000000002,protocol_second_repeat,6,2,0.6,1,protocol_second_repeat,11,2,3.0,2,8460.0,12510.0,1383.3333333333328,2170.0,16770.0,4.2,0.569,0.3,2870.0,4.2,2.904,1.5,OK,True,
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,2,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/2.csv,M01Ch001[001],1,2,4020.0,770.0,0.19154228855721392,1C,2720.0,458.1500000000001,16080.0,220.64999999999964,2720.0,458.1500000000001,protocol_second_repeat,6,2,0.6,1,protocol_second_repeat,11,2,3.0,2,7820.0,11840.0,1256.6666666666656,2026.6666666666656,16080.0,4.2,0.561,0.3,2720.0,4.2,2.876,1.5,OK,True,
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,3,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/3.csv,M01Ch001[001],1,3,4000.0,764.9999999999989,0.19124999999999973,1C,2650.0,460.6500000000001,15750.0,244.85000000000036,2650.0,460.6500000000001,protocol_second_repeat,6,2,0.6,1,protocol_second_repeat,11,2,3.0,2,7530.0,11530.0,1200.0,1964.9999999999989,15750.0,4.2,0.58,0.3,2650.0,4.2,2.89,1.5,OK,True,
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,4,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/4.csv,M01Ch001[001],1,4,4000.0,754.9999999999989,0.18874999999999972,1C,2570.0,475.6999999999998,15470.0,255.54999999999927,2570.0,475.6999999999998,protocol_second_repeat,6,2,0.6,1,protocol_second_repeat,11,2,3.0,2,7270.0,11270.0,1140.0,1894.9999999999989,15470.0,4.2,0.563,0.3,2570.0,4.2,2.909,1.5,OK,True,
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,5,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/5.csv,M01Ch001[001],1,5,3990.0,743.3333333333344,0.1862990810359234,1C,2510.0,482.9499999999998,15240.0,287.14999999999964,2510.0,482.9499999999998,protocol_second_repeat,6,2,0.6,1,protocol_second_repeat,11,2,3.0,2,7080.0,11070.0,1096.6666666666656,1840.0,15240.0,4.2,0.581,0.3,2510.0,4.2,2.91,1.5,OK,True,
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,6,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/6.csv,M01Ch001[001],1,6,3970.9523809523826,723.1666666666661,0.18211416236958847,1C,2370.0,487.0500000000002,14700.0,331.10000000000036,2370.0,487.0500000000002,protocol_second_repeat,6,2,0.6,1,protocol_second_repeat,11,2,3.0,2,6603.333333333333,10574.285714285716,985.9999999999991,1709.1666666666652,14700.0,4.2,0.5676,0.3,2370.0,4.2,2.8955,1.4999,OK,True,
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,7,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/7.csv,M01Ch001[001],1,7,3957.142857142858,702.9333333333351,0.17763658243080668,1C,2240.0,490.5,14230.0,379.9500000000007,2240.0,490.5,protocol_second_repeat,6,2,0.6,1,protocol_second_repeat,11,2,3.0,2,6192.857142857142,10150.0,886.6666666666657,1589.6000000000008,14230.0,4.2,0.5775,0.3,2240.0,4.1999,2.9154,1.4999,OK,True,
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,0,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/0.csv,M01Ch002[002],2,0,4180.0,808.3333333333335,0.19338118022328551,1C,3180.0,438.0999999999999,18200.0,162.40000000000146,3180.0,438.0999999999999,protocol_second_repeat,6,2,0.6,2,protocol_second_repeat,11,2,3.0,2,9730.0,13910.0,1646.6666666666656,2454.999999999999,18200.0,4.2,0.561,0.3,3180.0,4.2,2.912,1.5,OK,True,
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,1,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/1.csv,M01Ch002[002],2,1,4070.0,798.3333333333335,0.1961506961506962,1C,2910.0,450.5,16930.0,190.65000000000146,2910.0,450.5,protocol_second_repeat,6,2,0.6,1,protocol_second_repeat,11,2,3.0,2,8560.0,12630.0,1406.6666666666656,2204.999999999999,16930.0,4.2,0.566,0.3,2910.0,4.2,2.901,1.5,OK,True,
